Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.rxventure.json	5626	-	0	0	0	0	0	0	2	128	0	0	0	0	0	0	0	0	0	0	61	44	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-post-graduate-category.json	580	7	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	13	1529	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-program-review-types.json	763	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleReviewOfMayoClinicPGY1.json	811	7	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0
fsh-generated/resources/Organization-UniversityofUtahHealth.json	465	6	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/Organization-mayo-clinic.json	439	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-joe-dirt.json	563	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-MayoClinicPGY1ProgramDirector.json	449	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-mayo-clinic-rochester-pgy-1.json	970	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PostGradPosition.json	3591	7	1	0	0	0	0	49	0	61	0	0	0	0	0	0	0	1	0	0	200	1481	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-PostGraduateOrganization.json	1084	8	0	0	0	0	0	13	0	8	0	0	0	0	0	0	0	1	0	0	101	288	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ProgramContact.json	1547	7	0	0	0	0	0	34	0	8	0	0	0	0	0	0	0	0	0	0	110	311	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ProgramPractitioner.json	1101	6	0	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	199	237	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-program-review.json	3412	6	0	0	0	0	0	36	0	14	0	0	0	0	0	0	0	0	0	0	199	803	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-user.json	905	6	0	0	0	0	0	13	0	7	0	0	1	0	0	0	0	1	0	0	98	206	0	0	0	2	0	0
fsh-generated/resources/ValueSet-PostGraduateCategory.json	451	6	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	10	2644	0	0	0	0	0	0
fsh-generated/resources/ValueSet-program-review-types.json	479	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	33	0	0	0	1	0	0
